더 폰,3.66753,"366,753",한국,15세이상관람가,"스릴러,액션",김봉주,손현주|엄지원|배성우|김성종|권지훈|조용관|정한빈|정진근|장한별|임태훈|이확광|김성종|이병권|김경애|김광섭|이광기|김영민|김용환|김소영|김주희|김태환|김한준|서병철|백동현|이철민|노정의|장인섭|조달환|황석정
벤허,3.56127,"356,127",미국,12세이상관람가,"어드벤처,드라마",티무르 베크맘베토브,잭 휴스턴|토비 켑벨|모건 프리먼|로드리고 산토로|할룩 빌기너|요한 필리프 아스베크|모이세스 아리아스|아예렛 주러|소피아 블랙 디엘리아|제임스 코스모|다토 바크하제|자레스 J. 메즈
미 비포 유,3.48319,"348,319",미국,12세이상관람가,"멜로/로맨스,드라마",테아 샤록,에밀리아 클라크|샘 클라플린|매튜 루이스
마다가스카의 펭귄,3.46897,"346,897",미국,전체관람가,"애니메이션,코미디,어드벤처,가족","에릭 다넬,사이몬 J.스미스",베네딕트 컴버배치|존 말코비치|톰 맥그라스|크리스 밀러|크리스토퍼 나이츠|켄 정
탐정 홍길동: 사라진 마을,3.39742,"339,742",한국,15세이상관람가,"드라마,액션",조성희,이제훈|김성균|박근형|정성화|고아라|노정의|김하나|유승목|박정원|박지훈|오현암|유정래|윤상훈|이민아|이민지|이상희
시간이탈자,3.25459,"325,459",한국,15세이상관람가,스릴러,곽재용,임수정|조정석|이진욱|정진영|이기우|온주완|전신환|이민호|김보라|임예진|정웅인|박준규|남태부|차은재|박지원|박소영|백준혁|조민영|신지수|이동희|이성준|이영민
몬스터 호텔 2,3.25201,"325,201",미국,전체관람가,애니메이션,젠디 타타코브스키,아담 샌들러|셀레나 고메즈|케빈 제임스|스티브 부세미
워크래프트: 전쟁의 서막,3.24475,"324,475",미국,12세이상관람가,"액션,어드벤처,판타지",던칸 존스,트래비스 핌멜|벤 포스터|폴라 패튼|도미닉 쿠퍼|클랜시 브라운|토비 켑벨
브리짓 존스의 베이비,3.12416,"312,416",미국,15세이상관람가,"코미디,멜로/로맨스",샤론 맥과이어,르네 젤위거|콜린 퍼스|패트릭 뎀시
굿 다이노,3.01735,"301,735",미국,전체관람가,"애니메이션,어드벤처,코미디",피터 손,
간신,2.89236,"289,236",한국,청소년관람불가,사극,민규동,주지훈|김강우|천호진|임지연|이유영|김현수|문희경|박시영|박아영|임효우|전미정|전태호|박은영|박은영|박재성|박주희|박지수|정수지|정재우|배효진|조명행|조용완|송영창|차지연|성진아|최창훈|신동필|양정민|염재민|한진구|이보라|홍의정|황동희|이상철|이소희|이솔|이슬기|이승주|이용호|이용호|이윤지|김태희|서영주|기주봉|장광|류선영|김강일|정만식|최일화
장수상회,2.88983,"288,983",한국,12세이상관람가,"멜로/로맨스,드라마",강제규,박해빛나|박근형|윤여정|조진웅|한지민|황우슬혜|문가영|찬열|장문규|이준혁|윤소희|백일섭|박소연|이제욱|강석민|박지혜|정해인|최대영|최승훈|송동규|유원준|유원준|윤상훈|윤여정|이강희|임하룡|홍성일|이보영|이상수|이수지|이언정|김재화|남문철
박물관이 살아있다 : 비밀의 무덤,2.88421,"288,421","미국,영국",전체관람가,"어드벤처,코미디,가족",숀 레비,벤 스틸러|로빈 윌리엄스|댄 스티븐스|오웬 윌슨|벤 킹슬리|레벨 윌슨
맨 인 더 다크,2.71534,"271,534",미국,청소년관람불가,스릴러,페드 알바레즈,제인 레비|딜런 미네트|스티븐 랭|다니엘 조바토
성난 변호사,2.66739,"266,739",한국,15세이상관람가,"범죄,액션",허종호,오상철|이선균|김고은|임원희|장현성|최재웅|김윤혜|홍성덕|배유람|권귀덕|조경섭|조경섭|정진근|장명진|이확광|이형섭|이은택|이수민|이기창|유영진|김현정|노영화|송원종|박지영
특별수사: 사형수의 편지,2.62217,"262,217",한국,15세이상관람가,"범죄,드라마",권종관,김명민|김상호|성동일|김영애|김향기|김뢰하|박수영|박혁권|최병모|오민석|이지훈|박지환|신구|이한위|이문식|김명국|정택호|차상민|이성욱|이승훈
헝거게임: 더 파이널,2.57953,"257,953",미국,15세이상관람가,"액션,어드벤처",프란시스 로렌스,제니퍼 로렌스|조쉬 허처슨|리암 헴스워스|필립 세이모어 호프만|줄리안 무어|우디 해럴슨|엘리자베스 뱅크스|도날드 서덜랜드
갓 오브 이집트,2.53068,"253,068",미국,12세이상관람가,"어드벤처,판타지",알렉스 프로야스,제라드 버틀러|니콜라이 코스터 왈도|코트니 이튼|브렌튼 스웨이츠|애비 리
라이트 아웃,2.48391,"248,391",미국,15세이상관람가,공포(호러),데이비드 F. 샌드버그,테레사 팔머|앨리시아 벨라-베일리|가브리엘 베이트먼|알렉산더 디퍼시아
매그니피센트 7,2.47071,"247,071",미국,15세이상관람가,"액션,서부극(웨스턴)",안톤 후쿠아,덴젤 워싱턴|크리스 프랫|이병헌|에단 호크|맷 보머|빈센트 도노프리오|해일리 베넷|캠 지갠뎃
"날, 보러와요",2.44894,"244,894",한국,청소년관람불가,"미스터리,스릴러",이철하,강예원|이상윤|최진호|지대한|김종수|이학주|장태성|유건|길해연|조재윤|이형석|박송해|정경일|안용우|안지혜|안지혜|최낙영|이규호|이상백|이승진
